course_title,course_organization,course_difficulty,course_rating
Introduction to Data Science in Python,University of Michigan,Intermediate,4.5
Applied Data Science with Python,University of Michigan,Intermediate,4.5
Python for Data Science and AI,IBM,Beginner,4.6
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,Beginner,4.8
Excel Skills for Business,Macquarie University,Beginner,4.9
