course_name,University,Specialization
Bachelor of Computer Science (Hons),UOW,YEAR 3 | Project 1 & 2 | Software Engineering Practices & Principles | Knowledge & Information Engineering | Cybersecurity | Internship
BA132 - Diploma in Office Technology Management,UITM,NA
Diploma in Information Technology,UOW,NA
Bachelor in Software Engineering,UOW,YEAR 3 | Professional & Ethical Practice | Individual Project 1 | Individual Project 2 | Software Project Management | Software Maintenance & Re-Engineering | Industrial Training | DATA ANALYTICS | Introduction to Business Analytics | Predictive Analytics | Descriptive Analytics | Big Data Analytics | INTERNET OF THINGS | Introduction to Internet of Things (IoT) | Sensor Technology & Instrumentation | Wireless Sensor Network & IOT Standard | Analytics for Internet of Things (IoT)
BA232 - Bachelor in Office Systems Management (Hons),UITM,NA
