course_title,course_organization,course_difficulty,course_rating
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,Beginner,4.8
Java Programming and Software Engineering Fundamentals,Duke University,Beginner,4.6
Excel Skills for Business,Macquarie University,Beginner,4.9
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,Beginner,4.8
What is Data Science?,IBM,Beginner,4.7
