course_name,University,Specialization
BA132 - Diploma in Office Technology Management,UITM,
Bachelor of Computer Science (Hons),UOW,YEAR 3 | Project 1 & 2 | Software Engineering Practices & Principles | Knowledge & Information Engineering | Cybersecurity | Internship
BA232 - Bachelor in Office Systems Management (Hons),UITM,
Bachelor in Software Engineering,UOW,YEAR 3 | Professional & Ethical Practice | Individual Project 1 | Individual Project 2 | Software Project Management | Software Maintenance & Re-Engineering | Industrial Training | DATA ANALYTICS | Introduction to Business Analytics | Predictive Analytics | Descriptive Analytics | Big Data Analytics | INTERNET OF THINGS | Introduction to Internet of Things (IoT) | Sensor Technology & Instrumentation | Wireless Sensor Network & IOT Standard | Analytics for Internet of Things (IoT)
BA290 - Double Degree,UITM,
