course_title,course_organization,course_certificate_type,course_rating,course_difficulty
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed
Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner
Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate
Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner
Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner
Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner
Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner
Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner
"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner
Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate
Game Theory,Stanford University,COURSE,4.6,Beginner
Gamification,University of Pennsylvania,COURSE,4.8,Mixed
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate
Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner
Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner
Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner
Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate
Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner
Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed
Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner
Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner
Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed
Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner
Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner
Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed
Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate
Healing with the Arts,University of Florida,COURSE,4.6,Mixed
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed
Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner
How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner
Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner
Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner
Indigenous Canada,University of Alberta,COURSE,4.8,Mixed
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5,Intermediate
Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner
Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner
Information Visualization,New York University,SPECIALIZATION,4.6,Beginner
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner
Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner
Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner
Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate
Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner
International Organizations Management,University of Geneva,COURSE,4.8,Beginner
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner
Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner
Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate
Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner
Introduction to Classical Music,Yale University,COURSE,4.9,Mixed
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner
Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate
Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed
Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner
Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner
Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner
Introduction to Psychology,Yale University,COURSE,4.9,Beginner
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4,Intermediate
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner
Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner
Introductory Human Physiology,Duke University,COURSE,4.7,Mixed
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner
Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed
Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner
Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate
Machine Learning,Stanford University,COURSE,4.9,Mixed
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate
Machine Learning for All,University of London,COURSE,4.6,Beginner
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate
Machine Learning with Python,IBM,COURSE,4.7,Intermediate
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate
Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner
Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner
Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner
Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate
Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner
Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate
Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner
Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner
Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner
Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4,Intermediate
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner
Medical Neuroscience,Duke University,COURSE,4.9,Advanced
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner
Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner
Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner
Model Thinking,University of Michigan,COURSE,4.8,Mixed
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed
Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate
Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed
Mountains 101,University of Alberta,COURSE,4.9,Mixed
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner
Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed
Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner
Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner
Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate
Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate
Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate
Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate
Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate
Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed
"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner
Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner
Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed
Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced
Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner
Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate
Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed
Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner
Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner
People Analytics,University of Pennsylvania,COURSE,4.5,Mixed
Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner
Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner
Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner
Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner
Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed
Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner
Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner
Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate
Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner
Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner
Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner
Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed
Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed
Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced
Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner
Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate
"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner
Programming Fundamentals,Duke University,COURSE,4.7,Beginner
Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Mixed
Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate
Project Execution,"University of California, Irvine",COURSE,4.2,Beginner
Project Launch,"University of California, Irvine",COURSE,4.7,Beginner
Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner
Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner
Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed
Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner
Python Basics,University of Michigan,COURSE,4.8,Beginner
Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate
Python Data Structures,University of Michigan,COURSE,4.9,Mixed
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate
Python for Data Science and AI,IBM,COURSE,4.6,Beginner
Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner
Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner
R Programming,Johns Hopkins University,COURSE,4.6,Intermediate
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner
Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate
