course_title,course_organization,course_certificate_type,course_rating,course_difficulty
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner
Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner
Behavioral Finance,Duke University,COURSE,4.4,Mixed
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner
Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed
Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate
Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate
Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed
Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner
Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate
Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate
Business English: Networking,University of Washington,COURSE,4.7,Intermediate
Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner
Business Model Innovation,HEC Paris,COURSE,4.7,Mixed
Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner
Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner
Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner
Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner
Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner
Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner
COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner
"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed
Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner
Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner
Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed
Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner
Chinese for HSK 1,Peking University,COURSE,4.8,Beginner
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed
Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate
Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner
Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate
Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner
Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner
Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner
Construction Project Management,Columbia University,COURSE,4.8,Beginner
Construction Scheduling,Columbia University,COURSE,4.8,Beginner
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate
Crash Course on Python,Google,COURSE,4.8,Beginner
Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate
Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed
